"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7158","test_login[case3]","tests.test_ui","2026-09-12","passed","2026-09-12","TestUserUI","test_user_ui","",""
"登录页视觉回归：打开登录页，截图对比基线。","1355","test_login_page_visual","tests.test_ui","2026-09-12","passed","2026-09-12","","test_visual_regression","",""
"","94","test_user_login[case0]","tests.test_api","2026-09-12","passed","2026-09-12","TestUserApi","test_user_api","",""
"","7177","test_login[case4]","tests.test_ui","2026-09-12","passed","2026-09-12","TestUserUI","test_user_ui","",""
"","15131","test_login[case1]","tests.test_ui","2026-09-12","passed","2026-09-12","TestUserUI","test_user_ui","",""
"","2","test_user_login[case2]","tests.test_api","2026-09-12","passed","2026-09-12","TestUserApi","test_user_api","",""
"登录页视觉回归（严格阈值 1%）：同一页面二次确认。","1332","test_login_page_strict_visual","tests.test_ui","2026-09-12","passed","2026-09-12","","test_visual_regression","",""
"","364","test_user_login[case3]","tests.test_api","2026-09-12","passed","2026-09-12","TestUserApi","test_user_api","",""
"","15150","test_login[case2]","tests.test_ui","2026-09-12","passed","2026-09-12","TestUserUI","test_user_ui","",""
"","2","test_user_login[case1]","tests.test_api","2026-09-12","passed","2026-09-12","TestUserApi","test_user_api","",""
"","359","test_user_login[case4]","tests.test_api","2026-09-12","passed","2026-09-12","TestUserApi","test_user_api","",""
"","25334","test_login[case0]","tests.test_ui","2026-09-12","passed","2026-09-12","TestUserUI","test_user_ui","",""
